iter	Passed	Remaining
0	1	190
1	3	183
2	5	183
3	7	182
4	9	188
5	11	186
6	13	181
7	15	176
8	17	172
9	18	170
10	21	170
11	23	173
12	25	170
13	27	165
14	28	161
15	30	157
16	32	157
17	34	155
18	36	154
19	38	152
20	39	149
21	41	146
22	42	143
23	44	141
24	46	139
25	48	137
26	78	212
27	82	211
28	84	206
29	86	201
30	88	196
31	90	191
32	91	186
33	93	182
34	96	178
35	97	173
36	99	170
37	101	166
38	103	161
39	104	157
40	106	153
41	107	148
42	109	145
43	111	141
44	113	138
45	115	135
46	116	131
47	118	128
48	121	126
49	123	123
50	125	120
51	127	117
52	129	114
53	130	111
54	131	107
55	164	128
56	171	129
57	176	127
58	181	125
59	184	122
60	186	118
61	188	115
62	190	111
63	193	108
64	197	106
65	199	103
66	202	99
67	204	96
68	206	92
69	208	89
70	211	86
71	214	83
72	216	80
73	218	76
74	221	73
75	226	71
76	229	68
77	232	65
78	235	62
79	237	59
80	240	56
81	242	53
82	247	50
83	249	47
84	252	44
85	254	41
86	256	38
87	258	35
88	260	32
89	263	29
90	267	26
91	270	23
92	272	20
93	276	17
94	279	14
95	282	11
96	284	8
97	286	5
98	289	2
99	290	0
