iter	Passed	Remaining
0	151	151691
1	158	79048
2	164	54567
3	167	41820
4	170	33838
5	172	28567
6	175	24890
7	176	21942
8	178	19637
9	179	17785
10	180	16265
11	182	14987
12	183	13927
13	184	13016
14	185	12213
15	187	11507
16	188	10887
17	189	10335
18	190	9837
19	191	9396
20	192	8995
21	194	8630
22	195	8296
23	196	7999
24	198	7743
25	199	7487
26	201	7244
27	202	7019
28	203	6808
29	204	6611
30	205	6427
31	206	6255
32	207	6093
33	209	5945
34	211	5836
35	212	5701
36	214	5571
37	215	5450
38	216	5332
39	217	5221
40	218	5115
41	219	5015
42	221	4919
43	222	4832
44	224	4756
45	225	4673
46	226	4591
47	227	4513
48	228	4440
49	229	4367
50	230	4297
51	232	4231
52	233	4167
53	234	4105
54	236	4058
55	237	4003
56	238	3947
57	239	3893
58	240	3841
59	241	3791
60	243	3742
61	244	3694
62	245	3648
63	246	3604
64	247	3560
65	249	3526
66	250	3494
67	252	3457
68	253	3419
69	254	3383
70	255	3348
71	257	3314
72	258	3285
73	260	3253
74	261	3221
75	262	3192
76	264	3175
77	266	3144
78	267	3114
79	268	3084
80	269	3056
81	270	3028
82	271	2995
83	272	2969
84	273	2943
85	274	2917
86	275	2892
87	277	2871
88	278	2852
89	279	2828
90	280	2805
91	281	2783
92	283	2760
93	284	2739
94	285	2717
95	286	2697
96	287	2676
97	288	2656
98	289	2638
99	291	2626
100	294	2620
101	296	2608
102	297	2590
103	298	2572
104	299	2554
105	300	2537
106	301	2519
107	303	2503
108	305	2499
109	306	2483
110	308	2467
111	309	2450
112	310	2435
113	311	2419
114	312	2404
115	313	2389
116	314	2372
117	315	2358
118	316	2345
119	318	2335
120	319	2321
121	320	2307
122	321	2294
123	322	2281
124	324	2268
125	325	2256
126	326	2242
127	327	2229
128	328	2217
129	329	2206
130	332	2203
131	333	2194
132	334	2182
133	335	2171
134	337	2159
135	338	2148
136	339	2137
137	340	2126
138	341	2115
139	342	2104
140	343	2094
141	345	2085
142	346	2077
143	347	2067
144	348	2057
145	350	2048
146	351	2039
147	352	2031
148	354	2022
149	355	2013
150	356	2003
151	358	1997
152	359	1988
153	360	1979
154	361	1971
155	362	1962
156	363	1953
157	364	1944
158	365	1935
159	367	1927
160	367	1917
161	368	1908
162	370	1900
163	371	1895
164	373	1888
165	374	1881
166	375	1873
167	376	1865
168	377	1858
169	379	1850
170	380	1842
171	381	1835
172	382	1827
173	383	1820
174	385	1818
175	387	1812
176	388	1804
177	389	1797
178	390	1790
179	391	1783
180	392	1776
181	393	1769
182	394	1762
183	395	1755
184	397	1749
185	398	1744
186	399	1738
187	401	1732
188	402	1725
189	403	1719
190	404	1713
191	405	1706
192	406	1700
193	407	1694
194	409	1688
195	410	1682
196	414	1688
197	417	1691
198	418	1685
199	420	1681
200	421	1676
201	423	1671
202	424	1665
203	425	1661
204	428	1662
205	430	1657
206	431	1652
207	432	1647
208	433	1642
209	435	1636
210	436	1631
211	437	1625
212	438	1620
213	439	1615
214	441	1611
215	442	1606
216	443	1602
217	445	1596
218	446	1591
219	447	1586
220	450	1586
221	451	1581
222	452	1576
223	454	1572
224	455	1568
225	456	1563
226	457	1558
227	458	1553
228	459	1548
229	460	1543
230	461	1537
231	463	1533
232	464	1528
233	465	1523
234	466	1519
235	469	1519
236	470	1516
237	472	1512
238	473	1507
239	476	1507
240	477	1504
241	479	1501
242	480	1498
243	482	1494
244	483	1489
245	484	1485
246	485	1481
247	488	1482
248	490	1478
249	491	1474
250	492	1470
251	494	1466
252	495	1462
253	496	1458
254	498	1455
255	499	1451
256	500	1447
257	502	1444
258	503	1440
259	504	1437
260	506	1434
261	508	1431
262	509	1427
263	510	1424
264	511	1420
265	513	1416
266	514	1413
267	518	1416
268	520	1413
269	521	1410
270	522	1406
271	524	1403
272	525	1399
273	526	1395
274	528	1392
275	529	1389
276	530	1385
277	532	1382
278	534	1380
279	535	1376
280	536	1373
281	538	1371
282	540	1368
283	541	1365
284	543	1362
285	544	1359
286	545	1355
287	547	1352
288	549	1352
289	553	1354
290	554	1351
291	555	1347
292	557	1344
293	558	1340
294	559	1336
295	560	1333
296	561	1329
297	563	1326
298	564	1323
299	565	1319
300	566	1315
301	567	1312
302	568	1308
303	569	1304
304	571	1301
305	572	1297
306	573	1294
307	574	1290
308	576	1289
309	578	1287
310	579	1283
311	580	1280
312	581	1276
313	582	1273
314	583	1269
315	584	1266
316	586	1262
317	587	1259
318	589	1259
319	592	1259
320	594	1257
321	596	1255
322	597	1252
323	598	1248
324	599	1245
325	600	1242
326	602	1239
327	604	1238
328	605	1235
329	606	1232
330	608	1229
331	609	1225
332	610	1222
333	611	1219
334	613	1217
335	614	1214
336	615	1211
337	617	1208
338	618	1205
339	621	1205
340	622	1203
341	623	1199
342	624	1196
343	625	1193
344	627	1190
345	628	1187
346	629	1184
347	630	1181
348	631	1178
349	633	1175
350	634	1173
351	635	1170
352	636	1167
353	637	1164
354	639	1161
355	642	1161
356	643	1159
357	645	1157
358	646	1154
359	647	1151
360	649	1149
361	650	1146
362	651	1143
363	652	1140
364	653	1137
365	655	1134
366	656	1132
367	657	1129
368	659	1127
369	660	1125
370	662	1122
371	663	1119
372	664	1117
373	665	1114
374	666	1111
375	667	1108
376	669	1105
377	670	1103
378	671	1101
379	673	1098
380	674	1095
381	675	1092
382	676	1089
383	677	1086
384	678	1084
385	679	1081
386	680	1078
387	682	1075
388	683	1074
389	685	1072
390	687	1070
391	688	1067
392	689	1065
393	690	1062
394	691	1059
395	693	1057
396	694	1054
397	695	1051
398	696	1048
399	697	1046
400	699	1044
401	700	1042
402	702	1040
403	703	1037
404	704	1034
405	705	1032
406	706	1029
407	707	1026
408	708	1024
409	710	1021
410	711	1019
411	713	1017
412	714	1015
413	715	1012
414	716	1010
415	718	1008
416	720	1007
417	722	1006
418	724	1004
419	726	1002
420	727	1000
421	728	997
422	729	995
423	730	992
424	731	989
425	732	987
426	733	984
427	735	982
428	736	979
429	738	979
430	740	976
431	741	974
432	742	972
433	743	969
434	744	967
435	745	964
436	746	962
437	748	959
438	749	957
439	750	954
440	753	954
441	754	952
442	755	949
443	756	947
444	757	944
445	758	942
446	760	940
447	761	937
448	762	935
449	763	933
450	764	931
451	766	929
452	768	927
453	769	925
454	770	922
455	771	920
456	772	918
457	773	915
458	775	913
459	776	911
460	777	908
461	778	907
462	780	904
463	781	902
464	782	900
465	783	898
466	784	895
467	785	893
468	787	891
469	788	888
470	789	886
471	790	884
472	792	882
473	794	881
474	795	879
475	796	876
476	797	874
477	798	872
478	799	870
479	801	867
480	802	865
481	803	863
482	804	861
483	805	859
484	808	858
485	809	856
486	811	854
487	812	852
488	813	850
489	814	848
490	816	846
491	817	844
492	819	842
493	820	840
494	821	838
495	823	836
496	824	834
497	825	831
498	826	829
499	827	827
500	828	825
501	829	823
502	830	820
503	831	818
504	834	817
505	835	815
506	836	813
507	837	811
508	838	809
509	839	806
510	840	804
511	842	802
512	843	800
513	844	798
514	845	796
515	848	795
516	849	793
517	851	792
518	853	790
519	856	790
520	858	788
521	859	787
522	861	785
523	863	783
524	864	781
525	865	779
526	866	777
527	867	775
528	868	773
529	870	771
530	871	769
531	872	767
532	873	765
533	876	764
